,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT,Lat_from,Lon_from,Lat_to,Lon_to,network_node_id_ori,network_node_id_dest,driving_dist,driving_time,Walk_to_start_time,Walk_from_end_time,In_vehicle_time
10,1,14.0,4.0,5.282051282051282,206,29388.838624675624,599637.738068671,4399423.779350644,628450.4303084994,4400968.517914932,Chico,Concow,39.738891199836495,-121.83716270977271,39.748950131230075,-121.50069438268189,86481928.0,86438057.0,45928.0,31.00499999999999,1.4063407934879903,98.99987380979971,
11,1,15.0,149.0,154.33333333333334,6019,9290.800442279027,599791.3665631367,4398388.987416506,602842.7068529733,4390109.401079234,Chico,Durham,39.729551457861,-121.83552699994804,39.65460384850101,-121.80121884813538,86445294.0,3793790483.0,9685.317,9.741666666666667,3.1276553721834635,10.727679351657708,
12,1,16.0,1.0,1.7777777777777777,16,56914.26976543054,599389.0578907081,4400542.95991807,651084.9072685544,4376069.666164827,Chico,Forbestown,39.74900220459222,-121.83989533005794,39.520996000881105,-121.24229399996057,86419882.0,86438904.0,72558.53400000003,55.738333333333344,4.029616680619613,226.92826910279348,
13,1,17.0,9.0,11.102564102564102,433,18708.01683886944,601077.61251396,4400366.405677602,612790.166517474,4414589.123218246,Chico,Forest Ranch,39.74721311934956,-121.82021694558838,39.873857467083475,-121.6810932287829,86436985.0,86424655.0,24438.331999999995,16.18666666666667,6.6375674028184575,85.10053294140171,
14,1,18.0,2.0,2.75,66,49672.35568702991,600465.0061773452,4399113.379692849,620992.1564062854,4354976.186993864,Chico,Honcut,39.73599791449518,-121.8275572314156,39.335752681090945,-121.59609753890626,86422059.0,86449490.0,55018.98100000002,33.30000000000001,4.38784712210043,65.25812363623298,
15,1,19.0,3.0,4.054054054054054,150,39555.904771347385,599623.6250839493,4399750.622614905,631968.3209484215,4376290.426235139,Chico,Kelly Ridge,39.74183716732773,-121.83727790041297,39.52613417208448,-121.46457021840776,86513225.0,86438265.0,46196.848,31.91166666666666,0.5419522428303445,7.713725360513446,
16,1,21.0,68.0,70.8974358974359,2765,14457.904295283848,598825.706715269,4399253.824651842,584842.6184887273,4400774.492732552,Chico,Nord,39.73745471973606,-121.84666335376323,39.75266072001779,-122.00963080018957,86504788.0,86399030.0,20393.695000000003,23.401666666666664,2.0188838567292455,124.80672700113769,
17,1,22.0,36.0,37.20512820512821,1451,39891.30587309238,599410.4931762246,4399723.4903704,628704.549764476,4372017.174950275,Chico,Oroville East,39.74161763715599,-121.83976901362263,39.48813822825403,-121.50335748353295,86482885.0,86564451.0,42715.45699999997,28.556666666666658,1.5001556831103602,21.350282383120213,
18,1,23.0,9.0,9.538461538461538,372,40643.87075252333,599724.6151981247,4398270.134279534,625222.7804442977,4366379.854681126,Chico,Palermo,39.7284885955315,-121.8363237783263,39.437872839499335,-121.54489090541087,86443077.0,86465033.0,45221.121999999974,30.598333333333336,2.0619708822162237,7.372028844091551,
19,1,24.0,39.0,55.02564102564103,2146,49362.81807909685,599481.4338257202,4399873.36902645,637890.8015403633,4368984.641896559,Chico,Rackerby,39.74295951906414,-121.8389185553052,39.45940012184061,-121.39719999719425,86449666.0,86453777.0,59729.751,45.39833333333335,0.30247586141760485,90.06773578695197,
20,1,25.0,4.0,5.461538461538462,213,27792.955782914098,600096.4112905862,4398324.958495642,607704.9382867576,4372422.298642933,Chico,Richvale,39.728938906808146,-121.83197783940503,39.49467434604621,-121.74742618278306,86556029.0,86543708.0,28523.080999999995,24.203333333333333,0.39288291031622335,113.32186321303382,
21,1,26.0,2.0,2.4,60,54791.74297417627,597769.1918652247,4403202.486736121,645323.8131306695,4370135.036351078,Chico,Robinson Mill,39.77314765273724,-121.85840385084857,39.468538763555365,-121.31058470782826,86494222.0,86421102.0,67346.87300000002,50.70666666666668,8.218968197883315,163.18007567350045,
22,1,27.0,4.5,5.7105263157894735,217,37817.14644790095,599623.6250839493,4398412.579373382,625456.5638184175,4371032.515301122,Chico,South Oroville,39.729783598393084,-121.8374804386671,39.47974869169824,-121.54130044540022,86443073.0,86607381.0,40881.92299999997,27.508333333333336,1.787715920380003,5.251922073633307,
23,1,28.0,1.0,1.181818181818182,13,32343.2947342596,600924.830007334,4398488.820532396,625811.5561886395,4418764.433831348,Chico,Stirling City,39.730317375329186,-121.82228783819406,39.90963336075833,-121.5280687238363,86475351.0,86433409.0,45737.37100000001,43.57000000000001,3.6040557508937394,111.01835263505326,
24,1,29.0,44.0,49.15384615384615,1917,29978.17321419944,599508.7042007879,4398603.288427278,613787.0318722568,4373666.655433529,Chico,Thermalito,39.73151499553957,-121.8387923777831,39.50510030087898,-121.67649799997857,4281494460.0,86493137.0,32167.390000000003,20.01833333333333,0.6336264937228461,82.81555507461621,
