stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
30dd9fa5-f4b7-40b1-bbbe-0029f25c28f2,"37","County Center Dr at Juvenile Hall","Juvenile Hall",39.5298798102069,-121.568861697248,0,0
91a723ba-a139-474d-a160-0af64d4fd971,"38","County Center Dr at Admin Building","County Administration",39.527994217157,-121.57158682177,0,0
d31fadd8-f1b5-4ba8-baee-eccc0426e0d4,"39","Oroville Public Works","County Public Works",39.5256566718612,-121.571175102662,0,0
c43044aa-9068-4c51-af62-a5292c5532cf,"217","Notre Dame Blvd & Skyway",,39.7164556215081,-121.795285749154,0,0
37842443-b21c-4a53-a0b5-11473a44b81a,"423","Forest Ave & Flying V",,39.718633575358,-121.800833898832,0,0
67ad244b-3c9a-419a-9c45-811adeb69969,"293","Forest Xfer (Bank)","Rabobank",39.7231302990395,-121.801398503864,0,0
b6e466c3-0c3e-4d26-a2f0-3181577c87a3,"369","E 20th St & Chico Mall","See's Candy",39.7273561195943,-121.804826367189,0,0
af8cfd6d-aed3-4ab0-95cd-623b45284b96,"190","Fir Street Park & Ride",,39.7368819854785,-121.81793834674,0,0
68c02b17-c690-40ff-a9d8-54c6a54936f6,"229","E 8th St & Bartlett",,39.7354523679884,-121.821981777071,0,0
4f62a014-c962-493a-af59-5e8a55d83638,"230","E 8th St & Linden",,39.7330960472283,-121.825474013416,0,0
3a77acb5-e1b7-4206-94fd-5fcf4dc3988c,"395","8th Street & Olive",,39.7289654450992,-121.831593473649,0,0
fe6e18e7-b442-4d4f-ae06-5db812f08558,"231","E 8th St & Orient",,39.7279502289265,-121.833143790552,0,0
59be7614-81b1-4779-90c9-e6a7fad09f86,"168","Main St & 8th",,39.7262658015648,-121.835728099092,0,0
905c0c56-6c3c-4bb9-8c67-8925be7022ed,"169","Main St & 5th",,39.7286073701744,-121.838343253037,0,0
eba3f234-ba53-47f4-a6f1-71f4bfbea7d2,"398","Transit Center 2nd & Salem","CTC Normal St Regional (20,32,40,41)",39.7284236388459,-121.843100151008,0,0
8caa93bf-4fac-48f9-b60a-5d7016e224c7,"46","Oro Dam Blvd & Myers St","Subway",39.5046214464081,-121.550080868607,0,0
c7755c18-6097-428a-a1ed-82284d6aed13,"47","Oro Dam Blvd & 5th Ave","Las Plumas Plaza",39.5000670552294,-121.564320717115,0,0
89b3091e-2061-4747-9492-fc7c3be8b81b,"506","Oro Dam Blvd & 5th Ave","America's Best Value Inn",39.4992905556733,-121.566662285725,0,0
68b9dc22-5066-4f41-a78c-5f5505ce1a9b,"472","Feather River Blvd & Oro Dam Blvd","Wal-Mart",39.4968028066637,-121.572061572794,0,0
f2a55497-66ee-4849-879b-5544532c441b,"543","Feather River Blvd (Cinema)",,39.4921156461308,-121.573013757051,0,0
c13cdf11-4386-423e-b8f9-76fd7662587b,"473","Wal Mart",,39.4928157027254,-121.572658364335,0,0
137fb33b-915a-4190-a446-be89d9435918,"56","5th Ave & Pomona Ave","Playtown Park",39.5068369511865,-121.564947012958,0,0
f6cc83ad-98b2-4daa-b667-1b694d3137a2,"468","Myers St & Robinson St","Public Parking Lot",39.5122201450002,-121.554558816824,0,0
44cb2498-7123-4f42-b406-2a934b15abd5,"469","Myers St & Wilcox St","West, Curves",39.5078575317775,-121.551963779447,0,0
fb440152-b7e6-4586-b146-d23d892a9b05,"173","Broadway & 4th St",,39.7282533185633,-121.839638760068,0,0
22462b6c-fbfb-4b00-b0f6-b14a72d25a6a,"394","Broadway & 7th St",,39.7265004948676,-121.837627103187,0,0
eba524a4-4c10-4df4-beb5-158846c2aa5a,"396","E 9th & Orient st",,39.7272957698879,-121.832218428386,0,0
