service_id,date,exception_type
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240306,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240414,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240128,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240522,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240307,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240415,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240129,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240523,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240212,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240511,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240403,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240613,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240512,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240226,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240614,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240404,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240513,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240227,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240617,1
7348599d-9762-4e07-8865-dbda2e1be232,20240405,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240514,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240201,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240428,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240602,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240321,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240213,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240429,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240616,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240322,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240214,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240430,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240609,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240323,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240122,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240408,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240516,1
7348599d-9762-4e07-8865-dbda2e1be232,20240301,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240409,1
7348599d-9762-4e07-8865-dbda2e1be232,20240517,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240302,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240519,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240427,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240211,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240622,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240425,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240222,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240229,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240207,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240531,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240316,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240424,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240208,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240601,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240304,1
7348599d-9762-4e07-8865-dbda2e1be232,20240126,1
7348599d-9762-4e07-8865-dbda2e1be232,20240412,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240520,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240305,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240413,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240127,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240508,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240612,1
7348599d-9762-4e07-8865-dbda2e1be232,20240209,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240311,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240402,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240327,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240219,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240505,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240607,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240328,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240220,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240506,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240610,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240330,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240225,1
7348599d-9762-4e07-8865-dbda2e1be232,20240419,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240203,1
1ab4b738-9038-4040-ae62-95a3e1c7c345,20240527,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240312,1
1a98c027-1112-406c-96fa-6fcf3ef02430,20240420,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240204,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240528,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240313,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240421,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240121,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240130,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240501,1
5a6dfc6c-e45f-4984-aa2b-38093a0ee85f,20240407,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240515,1
d5427f99-901d-4e1c-b945-ee7b535e90ab,20240123,1
bc94e383-9f5f-47c3-98b2-7a6b9cff4022,20240521,1
